ILASII系统中905字段著者号的选取,范辉君:23990017|,3,905字段;著者号;索取号;四角号码;,"结合南通航运职业技术学院图书馆的实际情况,归纳了ILASII系统中905字段著者号的选取方法。",KJQB201001002
高校图书馆小语种图书的现状及应对策略,母艾坪:10662009|陈敏:23990013|张天骐:10728494|,3,高校图书馆;小语种图书;馆藏建设;,"在全球化趋势不断加深的今天,越来越多的非英语国家在政治、经济、科学、教育、文化等各方面同我国的交流与合作不断加强,从而推动了小语种专业的发展。可以说小语种专业的建设与发展已经成为必然,小语种图书收藏成为高校图书馆馆藏建设的非常重要的组成部分。分析了目前我国高校图书馆小语种图书的现状,并提出了几点应对措施。",KJQB201001003
高校图书馆重点学科垂直搜索引擎初探,唐中军:23990015|聂珍:23242641|,2,垂直搜索引擎;重点学科;高校图书馆;,"简要介绍了垂直搜索引擎与普通搜索引擎相比所具有的特点,阐述了高校重点学科建设的迫切性,探讨了垂直搜索引擎在图书馆重点学科建设中的应用,提出了基于垂直搜索技术的重点学科主题搜索引擎方案。",KJQB201001004
满铁资料整理研究的史料价值及现实意义,郭凤芹:23841523|,2,满铁资料;史料价值;现实意义;,"介绍了满铁资料的形成和构成及满铁资料整理研究的现状,指出了满铁资料整理研究的史料价值和现实意义。",KJQB201001005
刍议高校图书馆员对勤工助学学生的引导作用,孟江华:10637903|,3,高校图书馆;流通服务;勤工助学学生;素质引导;,"针对当前高校扩招带来的大学生就业难、用人单位要求就业者具有一定的工作经验的形势,介绍了高校图书馆流通服务馆员如何通过言传身教,对勤工助学的学生进行职业素质、业务素质以及继续学习和终身学习的引导。",KJQB201001006
基于Web2.0环境的图书馆员2.0思考,艾世尧:23861395|,3,图书馆员2.0;Web2.0;Lib2.0;,"论述了图书馆员2.0的角色、内涵及主要特征,提出了图书馆培育图书馆员2.0的主要途径,指出Web2.0和图书馆2.0的出现对图书馆生存和发展产生了巨大的影响。",KJQB201001007
浅谈医院图书馆的读者服务创新,赵文安:07161449|,3,医院图书馆;服务创新;读者服务;服务模式;,"论述了读者服务创新是信息化时代医学科学发展的客观要求,探讨了读者服务创新与图书馆发展的关系,提出了读者服务创新的多种形式。",KJQB201001008
独立学院图书馆发展对策研究,王明:11593978|吴先敏:23990016|,3,独立学院;图书馆;发展策略;,"阐述了目前独立学院图书馆发展的特点,列举了独立学院图书馆建设中出现的一些问题,针对这些问题,探讨了独立学院图书馆的发展策略。",KJQB201001009
地方高校学科服务模式定位与设置——基于湖州师范学院图书馆学科服务模式的思考,陈远方:22647755|,3,学科馆员;地方高校;学科馆员制度;,"阐述了建立学科馆员制度的现实背景及意义,分析了目前存在的问题,介绍了几种学科服务模式,指出地方高校图书馆学科服务的设置原则与建议。",KJQB201001010
基于Dspace的中医药机构知识库构建研究,张恒娟:23366993|邱亚娜:17301254|,3,中医药机构知识库;Dspace;用户管理;资源管理;,"介绍了机构知识库的概念,分析了中医药高等院校建立机构知识库的意义,对Dspace构建过程、中医药机构知识库用户管理和资源管理进行了详细的阐述。",KJQB201001011
论新时期党校图书馆的发展与建设,任续池:11508551|,3,党校图书馆;馆藏文献;价值体现;,"分析了图书馆在新时期的价值体现,阐述了党校图书馆的价值转变,进而对新时期党校图书馆的发展与建设提出了建议。",KJQB201001012
浅论高职高专图书馆网络自动化建设的创新,庞俊峰:44958672|温小明:44957318|,3,高职高专;图书馆;网络自动化建设;创新举措;,"根据高职高专图书馆的办馆特点,论述了网络自动化建设的重要性,并结合几年来在建设过程中的实践经验和创新举措,提出了在网络自动化建设的不同时期应该把握的原则和方法。",KJQB201001013
