马克思利用图书馆的伟大革命实践,郭星寿:|,7,," 伟大的无产阶级革命导师马克思无论作为马克思主义的创始人,还是作为科学泰斗,都同图书馆有着密切的关系。众所周知,马克思的一生在图书馆度过了不少时间,他对图书馆怀有亲切的感情。马克思利用图书馆的伟大实践,成为广大读者学习的楷模,同时也激励着社会主义图书馆工作者努力做好本职工作,为社会主义的物资文明和精神文明建设服务。深入研究马克思利用图书馆的革命实践,人们必将从中得到深刻的启示。本文试图就笔者所接触到的资料,作一综述,以期引起研究。马克思利用图书馆扩大自己的知识恩格斯于1851年7月9日在致德国政论家思斯特·德朗克的信中写道:“马克思老爹",TSQC198301000
图书流通中的经济手段,吴正芳:|,4,," 目前,我国公共系统众多的图书馆在图书流通中运用经济手段,一般采取以下两种形式:(一)发放借书证时,收取一定数量的押金。数目一般在1.5至3元之间;(二)对读者规定借书期限,不办理续借手续而逾期者,收取逾期费。一般逾期一天收费一分。这些形式的采用,完全是公共图书馆强流通中的图书管理和提高图书流通率的一种措施,这种措施仅仅要求读者不要损坏或遗失图书,不要违背图书借阅制度而已。对损坏或遗失图书者,图书馆理应要求赔偿,收取押金,就是要求损坏或遗失图书者赔偿图书的经济保证。对借书逾期者,图书馆理应绳之以“纪”,绳之以“纪”最有效的办法是收取逾期费。因此,在图书流通中运用经济手段,并不违背公共图书馆免费服务的原则。",TSQC198301002
各种索引语言与标引系统的比较评价——著名的“克兰菲尔德试验”概述,陈光祚:|,6,," 英国克兰菲尔德(Cranfield)航空学院图书馆长克里文敦(C·W·Cleverdon)指导下的研究小组,于1957年开始,对各种索引语言以及由这些索引语言建立起来的标引系统,就其对检索系统的性能影响问题,作了历时十年的比较试验。这就是有名的克兰菲尔德试验。这个试验分两个阶段进行;第一次克兰菲尔德试验(Cranfield Ⅰ)于1957年至1962年进行、第二次克兰菲尔德试验(Cranfield Ⅱ)于1963年至1966年进行。在情报检索系统的试验与评价方面,这个试验是具有经典意义的。它明确地提出了一套进行试验的必要条件、环境与程序,为检索系统的试验奠定了方法学的基础,也使得过去纯理论的探讨与争辩转向了以实际试验",TSQC198301003
《明史·艺文志》得失小议,张文翰:|,4,," 我国的史志目录共有七部。其中《明史·艺文志》(以下简称《明志》)因特点突出,缺陷明显,故后来的目录学家的评论,大都贬多于褒。甚至嫌其粗陋,很少有人专题研究,在一些目录史著作中,也不占一席之地。但笔者认为,按照辩证唯物主义和历史唯物主义的观点,全面衡量其得失,在指出《明志》不足之处的同时,对其历史作用是应该给予充分肯定的。一、《明志》的成书较早,收录也较为丰富,是明末清初爱国学者辛勤劳动和求实精神的成果。我国的史志目录,始于西汉班国所撰之《汉书·艺文志》,终于民国初年赵尔异、缨荃孙等所撰之《清史稿·艺文志》。纵观二十四史,只有《汉书》、《隋书》、《旧唐书》、《新唐书》、《宋史》、《明史》、",TSQC198301004
谈谈明代的活字印刷,曹之:|,5,," 我国是世界上发明活字印刷最早的国家,早在北宋庆历年间(1041—1048)毕升就发明了泥活字,元代王桢在皇庆年间(1312—1314)又发明了木活字。但是,由于种种原因,这些重大发明没有能够及时推广、叶德辉说:“明以来活字版盛行。”顾廷龙先生也说:“有明中叶,其法(指活字印刷)盛行。”明代活字印刷分布地区之广、活字种类之多、印本内容之丰富、印刷技术知精湛,都是史无前例的。一、活字印刷分布的地区如果说毕升的泥活字和王桢的木活字在宋元两代还是独一无二的话,那么到了明代,活字印刷已经蔚然成风。明代活字印刷",TSQC198301005
《五千年间星期检查表》增说,查启森:|,3,," 一、使用《五千年间墨期检查表》应注意的一个问题武汉大学图书馆学系《中文工具书使用法》编写组编写的《中文工具书使用法》(商务印书馆,1982年8月第1版)一书中说到:“关于年、月、日换算,还有一个星期的查找问题。由于公历被世界上大多数国家所采用,星期制也成为世界上大多数人所共同遵守的一种纪日制度。因此,不仅日常生活和工作中经常问起某日是星期几,而且研究历史也要查考星期(着重号是笔者所加)。要解决某日是星期几的问题,一般可利用《中国近代史历表》所附的“五千年间星期检查表”,或直接查阅《中西回史日",TSQC198301006
前进中的河南省图书馆,王毓:|,3,," 引言转眼行将五十年, 湖边犹记柳如烟。古稀已遇君仍健, 征路方长我尚全。枯守芸编春寂寂, 愁倚书案雨绵绵。几多史册曾经手, 白发难温夙昔缘。这首七律是1977年作家姚雪垠同志书赠河南省图书馆馆员薛连仲同志的,在精美的条幅左款,还有作家的附记: 约在一九三三年春,余离业留居开封,常到河南省图书馆看书,薛连仲同志时为青年馆员,每日静坐柜台内,司图书出纳,余读书较杂,曾借阅",TSQC198301007
湖北省图书馆学会1982年年会讨论问题综述,众言:|,4,," 湖北省图书馆学会1982年11月22日至26日在武昌举行。这届年会共收到论文49篇。与会期间,大家就图书馆在两个文明建设中的作用和地位、图书馆科学管理、图书馆藏书建设和内部整理、图书馆读者服务等问题进行了讨论和研究,并就图书馆学研究如何更好地理论联系实际,丰富图书馆学的内容,吸收新的科学研究方法等问题发表了意见。一、关于图书馆在社会主义物质文明和精神文明建设中的地位和作用。大家认为:图书馆是社会主义文化建设的重要组成部分,因此,如何充分认识图书",TSQC198301008
湖北省情报学会1982年活动简讯,王楚:|,2,," 1982年湖北省科学技术情报学会所属各学术组先后召开了各种形式的学术交流会,共收到论文80篇,参加人数共计280人。现分别介绍如下。一、6月23—25日情报调研组召开了全省首次学术讨论会,历时三天。会上传达了全国情报学会调研组在南宁召开的学术讨论会情况,宣读了论文并结合本省情报调研工作的实际展开了广泛的讨论和交流。与会者认为,这样的学术讨论既可提高对情报学理论的认识,又广泛交流了各自的经验,收益颇大,对今后的实际工作定将有所促进。",TSQC198301009
关于苏区图书馆的立法工作,唐见林:|,4,," 我国人民民主法制是在革命战争年代产生和发展起来的。在残酷的革命战争年代,在报刊出版条件十分困难的情况下,我们党和苏维埃政府就十分重视苏区的文化教育事业,把图书馆、俱乐部、列宁室作为社会教育的重要组成部分,颁布各项法令,开办各种不同类型的图书馆,并对图书馆(包括俱乐部、列宁室)的工作任务和组织管理给予明确的规定,开创了苏区图书馆的立法工作。第二次国内革命战争时期,为了粉碎敌人的军事“围剿”和文化封锁,服从革命战争的需要,我们党和苏维埃政府采取各种措施米加强苏维埃的文化教育。在中华苏维埃第二次全国代表大会上,毛泽东代表中华苏维埃共和国中央执行委员会和人民委员会向",TSQC198301010
